uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,family,nativeStatusCode,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,publicationDate,release
8ed83863-2e8a-4231-88d5-110004e14792,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],1,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,79,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
f32c7fec-50a7-49fa-a5ba-8c6852d54795,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,46,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
d08dab74-fdbd-41e6-9ae0-6b9d66e76ae8,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],2,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,52,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
de3944ba-8cc3-4454-abb1-9f0e0fa8006c,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],6,Y,HAWO,Picoides villosus,species,Hairy Woodpecker,Picidae,N,85,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
e44386c2-9ef7-4cd0-8a98-f4d40112b254,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,A1,2019-07-03T12:46Z,NIWO_031.A1.2019-07-03T06:46-06:00[US/Mountain],4,Y,DEJU,Junco hyemalis,species,Dark-eyed Junco,Emberizidae,N,37,calling,Yes,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
da307221-6964-4df9-b018-f1087afe5ee8,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,89,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
fa9f3114-e703-4bb1-9a67-6719600b85da,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],5,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,53,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
d43e9cb5-9fd2-44f7-a667-0b2a2d580ca0,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],4,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
243bd1fb-ec22-4a85-8be1-806fb4d5b9df,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],6,Y,AMRO,Turdus migratorius,species,American Robin,Turdidae,N,61,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
e1cdc203-f202-43aa-85c0-40b5a33c497f,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],3,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
a1753220-9064-4719-b3f2-a8f6f78ed581,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],2,Y,YRWA,Setophaga coronata,species,Yellow-rumped Warbler,Parulidae,N,76,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
604d50dc-aea2-43cc-ba6d-be7efac69ca1,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],5,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,80,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
e846f28e-eaf5-4f80-95dc-a571c4f4a5b4,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B1,2019-07-03T13:08Z,NIWO_031.B1.2019-07-03T07:08-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,64,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
